"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","PD","Cecum","Colon",7,7,18,0.456,1,"ns",1983.706,1,2
"2","PD","Cecum","Duodenum",7,7,49,0.000583,0.00583,"**",2132.03266666667,1,3
"3","PD","Cecum","Ileum",7,7,48,0.001,0.01,"**",2280.35933333333,1,4
"4","PD","Cecum","Jejunum",7,7,49,0.000583,0.00583,"**",2428.686,1,5
"5","PD","Colon","Duodenum",7,7,49,0.000583,0.00583,"**",2577.01266666667,2,3
"6","PD","Colon","Ileum",7,7,48,0.001,0.01,"**",2725.33933333333,2,4
"7","PD","Colon","Jejunum",7,7,49,0.000583,0.00583,"**",2873.666,2,5
"8","PD","Duodenum","Ileum",7,7,10,0.073,0.73,"ns",3021.99266666667,3,4
"9","PD","Duodenum","Jejunum",7,7,21,0.71,1,"ns",3170.31933333333,3,5
"10","PD","Ileum","Jejunum",7,7,36,0.165,1,"ns",3318.646,4,5
